1;19600318;19701023;02
2;19520413;19700411;02
2;19481218;19700204;75
1;19700104;19700601;02
1;19480618;19700815;75
1;19630412;19700321;02
1;19691215;19700227;02
1;19700212;19700212;02
1;19700321;19700321;02
2;19700420;19700531;02
1;19700622;19700622;02
1;19700826;19701121;02
1;19700923;19700923;02
2;19560126;19700830;59
1;19611211;19700402;02
1;19681029;19700427;02
1;19681203;19700206;08
1;19690123;19700418;02
1;19690412;19700217;02
2;19690706;19701130;37
1;19690824;19700106;02
2;19690915;19700227;02
1;19691214;19700319;51
2;19700224;19700615;02
2;19700325;19701014;59
2;19700417;19700419;51
1;19700604;19700618;51
2;19700616;19700707;51
2;19700619;19700623;51
1;19700623;19700624;51
1;19700629;19700629;51
1;19700729;19700729;51
1;19700808;19700810;02
2;19700814;19700915;75
2;19700815;19700815;51
2;19700820;19700821;02
1;19700827;19700903;51
2;19700910;19700912;51
2;19701004;19701004;51
2;19701007;19701008;51
2;19701015;19701017;51
1;19701031;19701102;02
1;19701211;19701214;02
1;19701220;19701226;51
1;18930718;19700224;02
2;19260704;19700700;02
1;19471008;19700706;02
1;19481122;19701217;02
1;19490605;19700128;13
1;19500530;19700919;02
1;19511202;19700428;08
1;19520701;19700324;02
1;19520923;19700421;02
2;19540428;19700326;02
1;19550506;19701217;02
1;19640318;19700527;13
1;19651003;19700503;75
2;19660115;19700724;02
1;19660508;19700422;60
2;19691004;19700117;02
1;19700201;19700206;02
1;19700213;19700213;02
1;19700214;19700314;02
1;19700309;19700316;75
2;19700313;19700403;02
2;19700425;19700425;02
2;19700601;19700602;02
1;19700601;19700630;02
1;19700612;19700731;02
1;19700626;19700704;02
2;19700710;19700727;94
1;19700711;19700712;02
1;19700907;19700907;02
1;19700909;19701107;02
1;19700917;19701201;02
2;19700922;19700924;02
1;19701004;19701006;02
1;19701205;19701206;02
1;19501105;19700720;89
2;18920721;19700506;75
2;19700925;19700928;02
1;19660721;19701208;02
1;19520801;19700611;02
1;19470815;19700308;02
1;19541024;19700819;02
1;19480111;19701115;02
2;18991102;19700625;51
1;18990225;19700806;75
2;19700216;19700420;02
2;18940517;19700822;46
2;19691127;19700203;02
1;19490524;19701228;59
1;19600509;19700101;91
2;19620924;19700331;02
1;19650920;19700831;59
1;19660104;19700721;62
1;19661220;19701229;75
1;19691203;19700202;02
1;19700210;19700702;02
2;19700312;19700312;02
1;19700719;19700720;02
1;19210306;19701109;08
1;19470107;19700115;02
2;19490313;19701225;02
1;19690302;19700714;75
1;19460410;19700914;51
2;18910124;19701223;02
1;19480828;19700129;59
1;19511212;19701129;02
1;19691228;19700507;60
2;19700226;19700226;59
2;19700319;19700403;02
2;19700407;19700413;80
1;19700408;19700414;02
1;19700513;19700519;02
1;19700527;19700527;02
2;19700501;19700502;51
1;19700501;19700504;51
1;19460117;19701113;02
2;19690104;19700325;02
2;19490423;19700105;52
1;19460414;19700308;02
1;19460917;19700727;02
1;19471124;19700905;02
1;19480724;19701231;02
2;19490607;19700108;50
1;19500428;19700521;02
1;19500512;19700719;02
2;19500804;19700304;21
1;19510101;19700505;02
1;19510305;19701010;02
2;19510407;19700730;59
1;19510930;19700714;02
2;19520713;19700926;80
1;19530919;19700914;02
1;19531127;19701231;60
1;19540601;19700918;02
2;19551102;19700611;02
1;19560602;19700817;02
2;19580216;19700314;02
2;19600221;19700801;02
1;19620221;19701211;02
1;19620923;19700910;30
1;19621217;19700728;02
2;19640424;19701114;02
2;19640720;19700619;59
1;19641211;19700227;02
1;19660107;19700708;02
2;19660227;19700426;02
1;19660518;19700506;02
2;19670218;19700127;75
1;19680814;19700921;02
2;19681107;19700124;02
1;19681127;19700909;75
1;19690403;19700815;94
2;19690512;19700528;02
2;19690810;19700223;02
1;19690905;19700303;02
1;19691006;19700104;02
1;19691027;19700513;02
1;19691124;19700628;02
1;19700101;19700103;02
2;19700104;19700717;02
1;19700124;19700304;75
2;19700126;19700522;02
2;19700211;19700211;02
2;19700331;19700401;02
2;19700401;19700402;02
2;19700403;19700406;02
1;19700405;19700407;02
1;19700409;19700502;75
2;19700424;19700425;02
1;19700504;19700728;02
2;19700618;19700620;02
2;19700618;19700619;02
2;19700625;19700625;02
1;19700629;19700702;02
1;19700801;19700915;02
2;19700826;19701014;02
2;19700905;19700910;75
1;19700912;19701009;02
2;19700922;19701201;02
2;19701017;19701020;02
2;19701110;19701111;02
2;19701113;19701119;02
2;19701214;19701215;59
2;19701222;19701226;59
1;19701222;19701222;02
1;19520602;19701107;02
1;19520720;19701127;80
1;19470724;19700110;02
2;19601009;19700519;02
1;19460920;19700302;02
2;19510812;19700118;02
2;19620401;19700722;02
2;19691011;19700312;02
1;19460619;19701123;03
1;19480427;19700821;02
2;19481030;19700105;02
1;19490819;19700217;02
1;19490912;19700215;02
1;19500315;19700821;28
1;19500928;19700321;60
1;19520430;19701201;02
2;19520515;19700820;44
1;19521115;19701009;02
2;19540301;19700916;02
1;19550424;19700723;92
1;19571210;19701006;02
1;19580213;19700620;02
1;19580411;19700830;02
1;19611013;19700610;80
1;19650807;19700227;02
1;19660307;19700505;60
2;19670311;19700605;02
1;19670327;19701214;80
2;19670406;19700227;02
1;19680109;19700103;02
1;19680315;19701116;02
1;19680427;19700430;02
2;19680814;19700105;02
1;19690224;19700419;93
1;19690304;19701222;02
1;19691130;19700209;60
1;19691201;19701116;02
2;19691205;19700105;02
2;19691214;19700429;77
2;19691220;19700601;02
1;19700209;19700215;02
2;19700217;19700312;02
2;19700225;19700604;02
2;19700310;19700618;02
2;19700425;19700501;02
1;19700706;19700801;02
1;19700818;19701022;02
2;19700901;19700902;02
1;19700905;19700911;94
2;19701002;19701003;02
1;19701114;19701125;02
1;19701215;19701217;02
1;19700807;19701011;02
1;19540505;19700312;02
1;19490811;19700127;02
2;19510720;19700505;02
2;19480822;19700207;51
2;19520422;19700831;02
2;19691112;19700107;02
2;19500630;19700814;11
1;19470222;19700914;75
2;19551228;19701009;02
1;19670615;19700705;02
2;19680925;19700829;02
1;19700103;19700103;02
2;19701111;19701116;51
